[m1],[m2],[m3],[k1],[k2],[k3]
16962,5543,7371,628190.0103,12042453.23,255876.7373
8904,17005,9409,2495711.961,4447741.808,3500447.748
8904,17005,9409,2495711.961,4447741.808,3500447.748
8904,17005,9409,2495711.961,4447741.808,3500447.748
8904,17005,9409,2495711.961,4447741.808,3500447.748
8904,17005,9409,2495711.961,4447741.808,3500447.748
28671,36345,7749,8711034.106,52257568.65,9374143.713
28671,36345,7749,8711034.106,52257568.65,9374143.713
28671,36345,7749,8711034.106,52257568.65,9374143.713
28671,36345,7749,8711034.106,52257568.65,9374143.713
28671,36345,7749,8711034.106,52257568.65,9374143.713
30456,18254,7451,3632541.361,2119610.931,109435476.1
30456,18254,7451,3632541.361,2119610.931,109435476.1
30456,18254,7451,3632541.361,2119610.931,109435476.1
30456,18254,7451,3632541.361,2119610.931,109435476.1
30456,18254,7451,3632541.361,2119610.931,109435476.1
45795,47985,15691,210775818.3,8801822.666,1616449.885
45795,47985,15691,210775818.3,8801822.666,1616449.885
45795,47985,15691,210775818.3,8801822.666,1616449.885
45795,47985,15691,210775818.3,8801822.666,1616449.885
45795,47985,15691,210775818.3,8801822.666,1616449.885
5067,16914,22469,8810533.902,2272281.926,2416094.811
5067,16914,22469,8810533.902,2272281.926,2416094.811
5067,16914,22469,8810533.902,2272281.926,2416094.811
5067,16914,22469,8810533.902,2272281.926,2416094.811
5067,16914,22469,8810533.902,2272281.926,2416094.811
6029,16976,33287,106137017.8,29187662.25,72359141.74
6029,16976,33287,106137017.8,29187662.25,72359141.74
6029,16976,33287,106137017.8,29187662.25,72359141.74
6029,16976,33287,106137017.8,29187662.25,72359141.74
6029,16976,33287,106137017.8,29187662.25,72359141.74
32180,5170,22292,5037366.993,9810629.983,23703950.08
32180,5170,22292,5037366.993,9810629.983,23703950.08
32180,5170,22292,5037366.993,9810629.983,23703950.08
32180,5170,22292,5037366.993,9810629.983,23703950.08
32180,5170,22292,5037366.993,9810629.983,23703950.08
5655,24195,10177,3606353.259,31333986.91,256756.2732
5655,24195,10177,3606353.259,31333986.91,256756.2732
5655,24195,10177,3606353.259,31333986.91,256756.2732
5655,24195,10177,3606353.259,31333986.91,256756.2732
5655,24195,10177,3606353.259,31333986.91,256756.2732
7596,23558,34682,37079042.81,5442244.628,2100414.425
7596,23558,34682,37079042.81,5442244.628,2100414.425
7596,23558,34682,37079042.81,5442244.628,2100414.425
7596,23558,34682,37079042.81,5442244.628,2100414.425
7596,23558,34682,37079042.81,5442244.628,2100414.425
12443,47487,30783,15935612.13,3570545.488,3712879.682
12443,47487,30783,15935612.13,3570545.488,3712879.682
12443,47487,30783,15935612.13,3570545.488,3712879.682
12443,47487,30783,15935612.13,3570545.488,3712879.682
12443,47487,30783,15935612.13,3570545.488,3712879.682
5093,41941,12490,2000781.59,1973365.822,33565621.65
5093,41941,12490,2000781.59,1973365.822,33565621.65
5093,41941,12490,2000781.59,1973365.822,33565621.65
5093,41941,12490,2000781.59,1973365.822,33565621.65
5093,41941,12490,2000781.59,1973365.822,33565621.65
23503,31622,16795,3178764.254,6952239.494,4105289.541
23503,31622,16795,3178764.254,6952239.494,4105289.541
23503,31622,16795,3178764.254,6952239.494,4105289.541
23503,31622,16795,3178764.254,6952239.494,4105289.541
23503,31622,16795,3178764.254,6952239.494,4105289.541
44168,24701,12379,13769327.53,187032946.2,8568317.948
44168,24701,12379,13769327.53,187032946.2,8568317.948
44168,24701,12379,13769327.53,187032946.2,8568317.948
44168,24701,12379,13769327.53,187032946.2,8568317.948
44168,24701,12379,13769327.53,187032946.2,8568317.948
16519,40491,23984,65258583.93,25765618.63,47701447.93
16519,40491,23984,65258583.93,25765618.63,47701447.93
16519,40491,23984,65258583.93,25765618.63,47701447.93
16519,40491,23984,65258583.93,25765618.63,47701447.93
16519,40491,23984,65258583.93,25765618.63,47701447.93
6327,30688,46488,14871496.28,5277435.427,151797953.3
6327,30688,46488,14871496.28,5277435.427,151797953.3
6327,30688,46488,14871496.28,5277435.427,151797953.3
6327,30688,46488,14871496.28,5277435.427,151797953.3
6327,30688,46488,14871496.28,5277435.427,151797953.3
15496,22182,21503,87891928.75,70404426.53,7957445247
15496,22182,21503,87891928.75,70404426.53,7957445247
15496,22182,21503,87891928.75,70404426.53,7957445247
15496,22182,21503,87891928.75,70404426.53,7957445247
15496,22182,21503,87891928.75,70404426.53,7957445247
8759,9089,12823,2457763.432,723859.9594,912579.9123
8759,9089,12823,2457763.432,723859.9594,912579.9123
8759,9089,12823,2457763.432,723859.9594,912579.9123
8759,9089,12823,2457763.432,723859.9594,912579.9123
8759,9089,12823,2457763.432,723859.9594,912579.9123
40552,13566,32327,128206155.4,629303.3762,5037120.758
40552,13566,32327,128206155.4,629303.3762,5037120.758
40552,13566,32327,128206155.4,629303.3762,5037120.758
40552,13566,32327,128206155.4,629303.3762,5037120.758
40552,13566,32327,128206155.4,629303.3762,5037120.758
31162,8411,36874,4527093.733,844840.3441,12105067.38
31162,8411,36874,4527093.733,844840.3441,12105067.38
31162,8411,36874,4527093.733,844840.3441,12105067.38
31162,8411,36874,4527093.733,844840.3441,12105067.38
31162,8411,36874,4527093.733,844840.3441,12105067.38
8118,12857,10135,59498537.26,47327607.72,461976.9692
8118,12857,10135,59498537.26,47327607.72,461976.9692
8118,12857,10135,59498537.26,47327607.72,461976.9692
8118,12857,10135,59498537.26,47327607.72,461976.9692
8118,12857,10135,59498537.26,47327607.72,461976.9692
9934,23526,19789,4422710.766,32578395.22,53049504.99
9934,23526,19789,4422710.766,32578395.22,53049504.99
9934,23526,19789,4422710.766,32578395.22,53049504.99
9934,23526,19789,4422710.766,32578395.22,53049504.99
9934,23526,19789,4422710.766,32578395.22,53049504.99
8849,33942,26355,817116.5444,10500619.08,8062481.76
8849,33942,26355,817116.5444,10500619.08,8062481.76
8849,33942,26355,817116.5444,10500619.08,8062481.76
8849,33942,26355,817116.5444,10500619.08,8062481.76
8849,33942,26355,817116.5444,10500619.08,8062481.76
7592,12575,24704,2082946.11,1940876.845,1586911.816
7592,12575,24704,2082946.11,1940876.845,1586911.816
7592,12575,24704,2082946.11,1940876.845,1586911.816
7592,12575,24704,2082946.11,1940876.845,1586911.816
7592,12575,24704,2082946.11,1940876.845,1586911.816
11632,15235,46586,2866966812,2255186804,88588183.7
11632,15235,46586,2866966812,2255186804,88588183.7
11632,15235,46586,2866966812,2255186804,88588183.7
11632,15235,46586,2866966812,2255186804,88588183.7
11632,15235,46586,2866966812,2255186804,88588183.7
31211,5322,26398,2565114198,13323181.92,13152774.01
31211,5322,26398,2565114198,13323181.92,13152774.01
31211,5322,26398,2565114198,13323181.92,13152774.01
31211,5322,26398,2565114198,13323181.92,13152774.01
31211,5322,26398,2565114198,13323181.92,13152774.01
7928,23844,23403,6048090.256,13389864.06,26962226.11
7928,23844,23403,6048090.256,13389864.06,26962226.11
7928,23844,23403,6048090.256,13389864.06,26962226.11
7928,23844,23403,6048090.256,13389864.06,26962226.11
7928,23844,23403,6048090.256,13389864.06,26962226.11
7052,5698,5095,484894.1473,1205959.316,11631268
7052,5698,5095,484894.1473,1205959.316,11631268
7052,5698,5095,484894.1473,1205959.316,11631268
7052,5698,5095,484894.1473,1205959.316,11631268
7052,5698,5095,484894.1473,1205959.316,11631268
8425,21217,18966,14338026.13,10309907.21,1189728.618
8425,21217,18966,14338026.13,10309907.21,1189728.618
8425,21217,18966,14338026.13,10309907.21,1189728.618
8425,21217,18966,14338026.13,10309907.21,1189728.618
8425,21217,18966,14338026.13,10309907.21,1189728.618
21478,7093,18963,154102656.7,15033469.17,6824235918
21478,7093,18963,154102656.7,15033469.17,6824235918
21478,7093,18963,154102656.7,15033469.17,6824235918
21478,7093,18963,154102656.7,15033469.17,6824235918
21478,7093,18963,154102656.7,15033469.17,6824235918
15455,28620,9904,1922415.803,29353479.16,111761676.7
15455,28620,9904,1922415.803,29353479.16,111761676.7
15455,28620,9904,1922415.803,29353479.16,111761676.7
15455,28620,9904,1922415.803,29353479.16,111761676.7
15455,28620,9904,1922415.803,29353479.16,111761676.7
17765,10159,25122,38568374.58,45380913.71,1464003654
17765,10159,25122,38568374.58,45380913.71,1464003654
17765,10159,25122,38568374.58,45380913.71,1464003654
17765,10159,25122,38568374.58,45380913.71,1464003654
17765,10159,25122,38568374.58,45380913.71,1464003654
5993,35444,44790,6776447.925,3120451.738,1146582.408
5993,35444,44790,6776447.925,3120451.738,1146582.408
5993,35444,44790,6776447.925,3120451.738,1146582.408
5993,35444,44790,6776447.925,3120451.738,1146582.408
5993,35444,44790,6776447.925,3120451.738,1146582.408
42122,11744,7201,991257.2019,33421097.76,378313.696
42122,11744,7201,991257.2019,33421097.76,378313.696
42122,11744,7201,991257.2019,33421097.76,378313.696
42122,11744,7201,991257.2019,33421097.76,378313.696
42122,11744,7201,991257.2019,33421097.76,378313.696
6598,22172,8716,4152657.306,22842063.91,2351944898
6598,22172,8716,4152657.306,22842063.91,2351944898
6598,22172,8716,4152657.306,22842063.91,2351944898
6598,22172,8716,4152657.306,22842063.91,2351944898
6598,22172,8716,4152657.306,22842063.91,2351944898
5302,17052,29302,109254095.2,59267171.94,3304629265
5302,17052,29302,109254095.2,59267171.94,3304629265
5302,17052,29302,109254095.2,59267171.94,3304629265
5302,17052,29302,109254095.2,59267171.94,3304629265
5302,17052,29302,109254095.2,59267171.94,3304629265
7100,35820,12110,6169172325,91277524.77,422666158.4
7100,35820,12110,6169172325,91277524.77,422666158.4
7100,35820,12110,6169172325,91277524.77,422666158.4
7100,35820,12110,6169172325,91277524.77,422666158.4
7100,35820,12110,6169172325,91277524.77,422666158.4
6662,5118,6586,5583668.054,2659496.529,108025523.3
6662,5118,6586,5583668.054,2659496.529,108025523.3
6662,5118,6586,5583668.054,2659496.529,108025523.3
6662,5118,6586,5583668.054,2659496.529,108025523.3
6662,5118,6586,5583668.054,2659496.529,108025523.3
27256,11973,16005,7471675.554,2543465.957,571555.0123
27256,11973,16005,7471675.554,2543465.957,571555.0123
27256,11973,16005,7471675.554,2543465.957,571555.0123
27256,11973,16005,7471675.554,2543465.957,571555.0123
27256,11973,16005,7471675.554,2543465.957,571555.0123
40775,48719,6871,2312627.646,794471.2949,1475080.194
40775,48719,6871,2312627.646,794471.2949,1475080.194
40775,48719,6871,2312627.646,794471.2949,1475080.194
40775,48719,6871,2312627.646,794471.2949,1475080.194
40775,48719,6871,2312627.646,794471.2949,1475080.194
12464,25832,33357,10103155.73,3673136.845,104432410.5
12464,25832,33357,10103155.73,3673136.845,104432410.5
12464,25832,33357,10103155.73,3673136.845,104432410.5
12464,25832,33357,10103155.73,3673136.845,104432410.5
12464,25832,33357,10103155.73,3673136.845,104432410.5
28382,36709,41700,119407139.4,563743526.8,1608401821
28382,36709,41700,119407139.4,563743526.8,1608401821
28382,36709,41700,119407139.4,563743526.8,1608401821
28382,36709,41700,119407139.4,563743526.8,1608401821
28382,36709,41700,119407139.4,563743526.8,1608401821
12767,31050,10064,1801156.469,4158926.816,24924863.56
12767,31050,10064,1801156.469,4158926.816,24924863.56
12767,31050,10064,1801156.469,4158926.816,24924863.56
12767,31050,10064,1801156.469,4158926.816,24924863.56
12767,31050,10064,1801156.469,4158926.816,24924863.56
22832,13624,28857,120141624.5,7242663.599,349010.779
22832,13624,28857,120141624.5,7242663.599,349010.779
22832,13624,28857,120141624.5,7242663.599,349010.779
22832,13624,28857,120141624.5,7242663.599,349010.779
22832,13624,28857,120141624.5,7242663.599,349010.779
12955,21282,15770,633779.2072,3227364.608,11034291.53
12955,21282,15770,633779.2072,3227364.608,11034291.53
12955,21282,15770,633779.2072,3227364.608,11034291.53
12955,21282,15770,633779.2072,3227364.608,11034291.53
12955,21282,15770,633779.2072,3227364.608,11034291.53
38257,18846,8404,8634757.865,9849839.07,8580068.863
38257,18846,8404,8634757.865,9849839.07,8580068.863
38257,18846,8404,8634757.865,9849839.07,8580068.863
38257,18846,8404,8634757.865,9849839.07,8580068.863
38257,18846,8404,8634757.865,9849839.07,8580068.863
11239,20737,10577,21557422.07,80605214.75,152438155.7
11239,20737,10577,21557422.07,80605214.75,152438155.7
11239,20737,10577,21557422.07,80605214.75,152438155.7
11239,20737,10577,21557422.07,80605214.75,152438155.7
11239,20737,10577,21557422.07,80605214.75,152438155.7
39393,16497,8772,81554522.28,417761556.5,1767430.185
39393,16497,8772,81554522.28,417761556.5,1767430.185
39393,16497,8772,81554522.28,417761556.5,1767430.185
39393,16497,8772,81554522.28,417761556.5,1767430.185
39393,16497,8772,81554522.28,417761556.5,1767430.185
8420,8262,7242,5897871.553,67158099.64,1731327.186
8420,8262,7242,5897871.553,67158099.64,1731327.186
8420,8262,7242,5897871.553,67158099.64,1731327.186
8420,8262,7242,5897871.553,67158099.64,1731327.186
8420,8262,7242,5897871.553,67158099.64,1731327.186
20851,7554,45741,2184163907,129131837.2,55014571.25
20851,7554,45741,2184163907,129131837.2,55014571.25
20851,7554,45741,2184163907,129131837.2,55014571.25
20851,7554,45741,2184163907,129131837.2,55014571.25
20851,7554,45741,2184163907,129131837.2,55014571.25
10476,44244,27299,12181366.39,1340541.237,5543534.407
10476,44244,27299,12181366.39,1340541.237,5543534.407
10476,44244,27299,12181366.39,1340541.237,5543534.407
10476,44244,27299,12181366.39,1340541.237,5543534.407
10476,44244,27299,12181366.39,1340541.237,5543534.407
20397,12320,17338,5251451.275,4642282.035,373275.4264
20397,12320,17338,5251451.275,4642282.035,373275.4264
20397,12320,17338,5251451.275,4642282.035,373275.4264
20397,12320,17338,5251451.275,4642282.035,373275.4264
20397,12320,17338,5251451.275,4642282.035,373275.4264
18130,15413,16028,1654950.144,3571858.657,308753.6631
18130,15413,16028,1654950.144,3571858.657,308753.6631
18130,15413,16028,1654950.144,3571858.657,308753.6631
18130,15413,16028,1654950.144,3571858.657,308753.6631
18130,15413,16028,1654950.144,3571858.657,308753.6631
46478,5445,28727,139038049.3,40586967583,2313148499
46478,5445,28727,139038049.3,40586967583,2313148499
46478,5445,28727,139038049.3,40586967583,2313148499
46478,5445,28727,139038049.3,40586967583,2313148499
46478,5445,28727,139038049.3,40586967583,2313148499
17135,32629,7736,48117084.53,8477922318,349432063.2
17135,32629,7736,48117084.53,8477922318,349432063.2
17135,32629,7736,48117084.53,8477922318,349432063.2
17135,32629,7736,48117084.53,8477922318,349432063.2
17135,32629,7736,48117084.53,8477922318,349432063.2
18989,8618,18752,2451691.897,1287722.542,7361121.746
18989,8618,18752,2451691.897,1287722.542,7361121.746
18989,8618,18752,2451691.897,1287722.542,7361121.746
18989,8618,18752,2451691.897,1287722.542,7361121.746
18989,8618,18752,2451691.897,1287722.542,7361121.746
7831,14581,38954,30537595.97,26511014.84,303451568.1
7831,14581,38954,30537595.97,26511014.84,303451568.1
7831,14581,38954,30537595.97,26511014.84,303451568.1
7831,14581,38954,30537595.97,26511014.84,303451568.1
7831,14581,38954,30537595.97,26511014.84,303451568.1
32772,9780,39081,566242325.6,4972141.466,1666286923
32772,9780,39081,566242325.6,4972141.466,1666286923
32772,9780,39081,566242325.6,4972141.466,1666286923
32772,9780,39081,566242325.6,4972141.466,1666286923
32772,9780,39081,566242325.6,4972141.466,1666286923
9662,9867,19590,81694441.37,40410954.39,2193593.247
9662,9867,19590,81694441.37,40410954.39,2193593.247
9662,9867,19590,81694441.37,40410954.39,2193593.247
9662,9867,19590,81694441.37,40410954.39,2193593.247
9662,9867,19590,81694441.37,40410954.39,2193593.247
41687,24512,20459,37685236.87,924614.3996,184053292.1
41687,24512,20459,37685236.87,924614.3996,184053292.1
41687,24512,20459,37685236.87,924614.3996,184053292.1
41687,24512,20459,37685236.87,924614.3996,184053292.1
41687,24512,20459,37685236.87,924614.3996,184053292.1
22681,6771,13150,30706779.45,333269.3559,1472126.083
22681,6771,13150,30706779.45,333269.3559,1472126.083
22681,6771,13150,30706779.45,333269.3559,1472126.083
22681,6771,13150,30706779.45,333269.3559,1472126.083
22681,6771,13150,30706779.45,333269.3559,1472126.083
26281,30569,36765,1256320675,1960929158,1569433805
26281,30569,36765,1256320675,1960929158,1569433805
26281,30569,36765,1256320675,1960929158,1569433805
26281,30569,36765,1256320675,1960929158,1569433805
26281,30569,36765,1256320675,1960929158,1569433805
25379,9841,13754,12461615.24,956449.3016,387198.086
25379,9841,13754,12461615.24,956449.3016,387198.086
25379,9841,13754,12461615.24,956449.3016,387198.086
25379,9841,13754,12461615.24,956449.3016,387198.086
25379,9841,13754,12461615.24,956449.3016,387198.086
44491,13687,21906,3736747.023,2245685.496,5551377.825
44491,13687,21906,3736747.023,2245685.496,5551377.825
44491,13687,21906,3736747.023,2245685.496,5551377.825
44491,13687,21906,3736747.023,2245685.496,5551377.825
44491,13687,21906,3736747.023,2245685.496,5551377.825
5318,48411,5901,23211685180,173153061.2,5347250698
5318,48411,5901,23211685180,173153061.2,5347250698
5318,48411,5901,23211685180,173153061.2,5347250698
5318,48411,5901,23211685180,173153061.2,5347250698
5318,48411,5901,23211685180,173153061.2,5347250698
9244,18193,11608,830438.8497,4505137.532,32486325.03
9244,18193,11608,830438.8497,4505137.532,32486325.03
9244,18193,11608,830438.8497,4505137.532,32486325.03
9244,18193,11608,830438.8497,4505137.532,32486325.03
9244,18193,11608,830438.8497,4505137.532,32486325.03
33931,19280,6729,292481469.5,445230747.3,3222327702
33931,19280,6729,292481469.5,445230747.3,3222327702
33931,19280,6729,292481469.5,445230747.3,3222327702
33931,19280,6729,292481469.5,445230747.3,3222327702
33931,19280,6729,292481469.5,445230747.3,3222327702
9683,29442,11262,3022590.115,1132130891,711518874.1
9683,29442,11262,3022590.115,1132130891,711518874.1
9683,29442,11262,3022590.115,1132130891,711518874.1
9683,29442,11262,3022590.115,1132130891,711518874.1
9683,29442,11262,3022590.115,1132130891,711518874.1
7162,15633,32345,1003773.869,9759074.085,2517247.828
7162,15633,32345,1003773.869,9759074.085,2517247.828
7162,15633,32345,1003773.869,9759074.085,2517247.828
7162,15633,32345,1003773.869,9759074.085,2517247.828
7162,15633,32345,1003773.869,9759074.085,2517247.828
5834,19746,5112,2027530.022,424849739.5,508189872.1
5834,19746,5112,2027530.022,424849739.5,508189872.1
5834,19746,5112,2027530.022,424849739.5,508189872.1
5834,19746,5112,2027530.022,424849739.5,508189872.1
5834,19746,5112,2027530.022,424849739.5,508189872.1
18550,5234,10775,3312780883,48054711.5,1521003407
18550,5234,10775,3312780883,48054711.5,1521003407
18550,5234,10775,3312780883,48054711.5,1521003407
18550,5234,10775,3312780883,48054711.5,1521003407
18550,5234,10775,3312780883,48054711.5,1521003407
48660,32228,7790,594006458.9,36507864.62,10752091.44
48660,32228,7790,594006458.9,36507864.62,10752091.44
48660,32228,7790,594006458.9,36507864.62,10752091.44
48660,32228,7790,594006458.9,36507864.62,10752091.44
48660,32228,7790,594006458.9,36507864.62,10752091.44
41975,5148,13238,40973692.35,207440.5408,2729638.17
41975,5148,13238,40973692.35,207440.5408,2729638.17
41975,5148,13238,40973692.35,207440.5408,2729638.17
41975,5148,13238,40973692.35,207440.5408,2729638.17
41975,5148,13238,40973692.35,207440.5408,2729638.17
14680,29413,12041,8743620.464,1182732166,22527650.57
14680,29413,12041,8743620.464,1182732166,22527650.57
14680,29413,12041,8743620.464,1182732166,22527650.57
14680,29413,12041,8743620.464,1182732166,22527650.57
14680,29413,12041,8743620.464,1182732166,22527650.57
45923,18501,35517,31796742.41,1575675.165,4650959.908
45923,18501,35517,31796742.41,1575675.165,4650959.908
45923,18501,35517,31796742.41,1575675.165,4650959.908
